,Weekly rank,Title,Country,Director,Distributor,Screens (week),Gross revenue (week),Tickets (week),Screens (all-time),Gross revenue (all-time),Tickets (all-time),Days since premiere,Week,Weekly drop (revenue)
386,7,O Círculo,NOS Lusomundo Audiovisuais,James Ponsoldt,"US, AE",44,38919.08,7249,89,226955.52,42334,21,20,-0.2812119658504818
387,8,A Cidade Perdida de Z ,NOS Lusomundo Audiovisuais,James Gray,US,32,30494.37,5696,54,88309.06,16491,14,20,-0.47054423690383784
388,9,Alien: Covenant,Big Picture 2 Films,Ridley Scott,"US, AU, GB, NZ",2,22354.5,2143,2,22354.5,2143,0,20,
389,10,Ladrões Com Muito Estilo,NOS Lusomundo Audiovisuais,Zach Braff,US,25,22248.44,4180,173,551249.360000005,104863,42,20,-0.31112300087810885
390,11,Música a Música,NOS Lusomundo Audiovisuais,Terrence Malick,US,17,21682.97,4196,17,22303.97,4319,7,20,
391,12,"Amigos Amigos, Telemóveis à Parte",Outsider Films,Paolo Genovese,IT,28,20398.38,3819,53,48105.1200000001,9317,14,20,-0.1827552470078052
392,13,Fátima,NOS Lusomundo Audiovisuais,João Canijo,"PT, FR",25,18648.19,3702,57,104764.12,20089,21,20,-0.4066637649231388
393,14,A Minha Vida de Courgette,Outsider Films,Claude Barras	,"FR, CH",41,11621.99,2313,41,11621.99,2313,7,20,
394,15,Viral,Lanterna de Pedra Filmes,"Henry Joost, Ariel Schulman",US,17,10915.6,2033,17,10915.6,2033,7,20,
395,16,A Cabana,Pris Audiovisuais,Stuart Hazeldine,US,11,10418.26,1905,57,125634.9,23148,28,20,-0.3413068328384933
396,17,O Jovem Karl Max,Films4you,Eyal Halfon,"FR, DE, BE",6,10327.3,1937,31,76087.6899999999,14345,28,20,-0.35653487240420434
397,18,O Jardim da Esperança,NOS Lusomundo Audiovisuais,Niki Caro,"US, CZ, GB",15,8816.68,1633,90,158133.32,29973,28,20,-0.553285675995973
398,19,Jacinta,NOS Lusomundo Audiovisuais,Jorge Paixão da Costa,PT,25,7908.45,1532,90,237061.320000001,44425,35,20,-0.6932421697420867
399,20,A Bela e o Monstro,NOS Lusomundo Audiovisuais,Bill Condon,US,25,7367.35,1967,370,2803826.77000004,533582,63,20,-0.5014309409426412
400,1,Alien: Covenant,Big Picture 2 Films,Ridley Scott,"US, AU, GB, NZ",78,297357.59,70390,78,319712.09,72533,7,21,12.301911919300366
401,2,Rei Artur: A Lenda da Espada,NOS Lusomundo Audiovisuais,Guy Ritchie,US,75,195418.31,56092,143,480620.260000002,108322,14,21,-0.30802462195888236
402,3,Velocidade Furiosa 8,NOS Lusomundo Audiovisuais,F. Gary Gray,US,59,113400.45,32903,312,4202005.59000003,767331,42,21,-0.29943504046457037
403,4,Perdidos,NOS Lusomundo Audiovisuais,Sérgio Graciano,PT,35,87087.1,26025,35,87087.1,26025,7,21,
404,5,Guardiões da Galáxia Vol.2,NOS Lusomundo Audiovisuais,James Gunn,US,65,77963.71,23314,217,827002.379999999,152518,28,21,-0.3418294026339247
405,6,The Boss Baby,Big Picture 2 Films,Tom Mcgrath,US,64,72332.92,20334,237,1637106.05999999,329705,42,21,-0.41505834422018417
406,7,Conspiração Terrorista,NOS Lusomundo Audiovisuais,Michael Apted,GB,36,60146.98,17509,36,60146.98,17509,7,21,
407,8,Amarelinho,Big Picture 2 Films,Christian De Vita,"FR, BE",49,46312.83,12808,49,46312.83,12808,7,21,
408,9,Bailarina,NOS Lusomundo Audiovisuais,"Eric Summer, Éric Warin","FR, CA",62,40171.61,10273,169,432242.410000002,87968,28,21,-0.5955696872853088
409,10,Foge,NOS Lusomundo Audiovisuais,Jordan Peele,US,27,30310.65,9340,76,138153.83,29660,21,21,-0.35686009322888557
410,11,O Círculo,NOS Lusomundo Audiovisuais,James Ponsoldt,"US, AE",23,25993.82,7741,101,253450.94,50193,28,21,-0.3321060004501648
411,12,Ladrões Com Muito Estilo,NOS Lusomundo Audiovisuais,Zach Braff,US,11,15921.26,4727,174,567750.840000004,109705,49,21,-0.2843875795336661
412,13,Heróis da Nação,NOS Lusomundo Audiovisuais,Lone Scherfig,GB,13,13523.0,3641,13,13523.0,3641,7,21,
413,14,A Cidade Perdida de Z ,NOS Lusomundo Audiovisuais,James Gray,US,17,12818.72,3753,62,101535.88,20329,21,21,-0.5796365033939052
414,15,"Amigos Amigos, Telemóveis à Parte",Outsider Films,Paolo Genovese,IT,14,12320.83,3616,62,60803.5500000001,13017,21,21,-0.3959897795805354
415,16,Música a Música,NOS Lusomundo Audiovisuais,Terrence Malick,US,18,10324.29,3079,33,32924.26,7461,14,21,-0.5238525903047415
416,17,A Cabana,Pris Audiovisuais,Stuart Hazeldine,US,8,7501.99,2179,63,133393.53,25377,35,21,-0.27991910357391736
417,18,I Am Not Your Negro - Não Sou o Teu Negro,Midas Filmes,Raoul Peck,"US, FR",6,6670.0,1874,6,6670.0,1874,7,21,
418,19,Fátima,NOS Lusomundo Audiovisuais,João Canijo,"PT, FR",11,6618.13,1835,65,111755.65,22012,28,21,-0.6451060397818769
419,20,O Jovem Karl Max,Films4you,Eyal Halfon,"FR, DE, BE",6,6431.02,1812,38,83382.6099999999,16343,35,21,-0.377279637465746
420,1,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,NOS Lusomundo Audiovisuais,"Joachim Rønning, Espen Sandberg",US,126,806916.219999999,141239,126,806916.219999998,141239,7,22,
421,2,Alien: Covenant,Big Picture 2 Films,Ridley Scott,"US, AU, GB, NZ",69,106101.55,19229,130,432906.140000002,94353,14,22,-0.6431853311697879
422,3,Rei Artur: A Lenda da Espada,NOS Lusomundo Audiovisuais,Guy Ritchie,US,73,75462.9999999998,14178,196,562269.759999998,124779,21,22,-0.6138386418345354
423,4,Velocidade Furiosa 8,NOS Lusomundo Audiovisuais,F. Gary Gray,US,56,49606.34,9333,343,4256176.08000003,778189,49,22,-0.5625560568763175
424,5,The Boss Baby,Big Picture 2 Films,Tom Mcgrath,US,47,44134.56,8702,257,1683560.66999999,339239,49,22,-0.3898413060056196
425,6,Perdidos,NOS Lusomundo Audiovisuais,Sérgio Graciano,PT,34,40584.27,7514,53,129136.37,34125,14,22,-0.533980692892518
426,7,Amarelinho,Big Picture 2 Films,Christian De Vita,"FR, BE",54,38464.48,7711,83,85572.3099999999,20837,14,22,-0.16946383971784917
427,8,Bailarina,NOS Lusomundo Audiovisuais,"Eric Summer, Éric Warin","FR, CA",60,30900.51,6401,199,463959.420000002,94637,35,22,-0.2307873645094135
428,9,Conspiração Terrorista,NOS Lusomundo Audiovisuais,Michael Apted,GB,36,26100.75,4933,58,88662.7299999995,23350,14,22,-0.5660505315478849
429,10,Guardiões da Galáxia Vol.2,NOS Lusomundo Audiovisuais,James Gunn,US,48,25713.11,4774,242,854241.489999999,157898,35,22,-0.6701912979769691
430,11,O Sentido do Fim,NOS Lusomundo Audiovisuais,Ritesh Batra,GB,10,15400.92,2874,10,15400.92,2874,7,22,
431,12,O Círculo,NOS Lusomundo Audiovisuais,James Ponsoldt,"US, AE",12,11179.99,2047,106,266580.930000001,53028,35,22,-0.5698981527147606
432,13,Ladrões Com Muito Estilo,NOS Lusomundo Audiovisuais,Zach Braff,US,9,9435.36,1838,180,578620.800000005,112105,56,22,-0.407373537019055
433,14,"Amigos Amigos, Telemóveis à Parte",Outsider Films,Paolo Genovese,IT,9,9042.26,1669,65,71275.8099999999,15258,28,22,-0.2660997676292912
434,15,Heróis da Nação,NOS Lusomundo Audiovisuais,Lone Scherfig,GB,15,8293.06,1543,25,22561.06,5488,14,22,-0.3867440656659026
435,16,I Am Not Your Negro - Não Sou o Teu Negro,Midas Filmes,Raoul Peck,"US, FR",4,6157.25,1113,9,12953.25,3046,14,22,-0.07687406296851573
436,17,Foge,NOS Lusomundo Audiovisuais,Jordan Peele,US,9,5138.03,979,79,144506.86,31125,28,22,-0.8304876338844598
437,18,Norman,Cinemundo,Joseph Cedar	,"US, IL",3,4332.68,824,4,8534.77999999999,1930,14,22,
438,19,Uma Vida à Espera,CAOS CALMO FILMES,Sérgio Graciano,PT,3,4120.12,801,7,10228.42,3057,14,22,
439,20,"Paula Rego, Histórias & Segredos",Midas Filmes,Nick Willing,GB,6,3094.75,779,35,72158.74,14295,56,22,-0.6478737021760774
440,1,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,NOS Lusomundo Audiovisuais,"Joachim Rønning, Espen Sandberg",US,119,436298.85,81121,202,1249042.06999999,223676,14,23,-0.45930092965537306
441,2,Mulher-Maravilha,NOS Lusomundo Audiovisuais,Patty Jenkins,US,116,344826.24,60875,116,344826.24,60875,7,23,
442,3,Capitão Cuecas - O Filme,Big Picture 2 Films,David Soren,US,93,246538.49,49187,93,246538.490000001,49187,7,23,
443,4,Alien: Covenant,Big Picture 2 Films,Ridley Scott,"US, AU, GB, NZ",68,56790.77,10363,188,490027.460000003,104776,21,23,-0.46475079770276684
444,5,Rei Artur: A Lenda da Espada,NOS Lusomundo Audiovisuais,Guy Ritchie,US,61,46228.25,8886,241,609128.159999996,133855,28,23,-0.3874050859361525
445,6,Velocidade Furiosa 8,NOS Lusomundo Audiovisuais,F. Gary Gray,US,41,26210.81,4818,357,4282579.54000004,783040,56,23,-0.4716237884109168
446,7,Perdidos,NOS Lusomundo Audiovisuais,Sérgio Graciano,PT,32,26203.33,4921,64,155438.95,39063,21,23,-0.35434763271582803
447,8,The Boss Baby,Big Picture 2 Films,Tom Mcgrath,US,42,25105.6,5114,271,1709221.51999999,344554,56,23,-0.4311578046773322
448,9,Amarelinho,Big Picture 2 Films,Christian De Vita,"FR, BE",78,22444.85,7325,126,108409.16,28235,21,23,-0.41647852772219984
449,10,Bailarina,NOS Lusomundo Audiovisuais,"Eric Summer, Éric Warin","FR, CA",58,21463.23,5006,221,485916.150000002,99808,42,23,-0.305408551509344
450,11,Escritos Secretos,NOS Lusomundo Audiovisuais,Jim Sheridan,IE,11,17264.75,3301,11,17264.75,3301,7,23,
451,12,Guardiões da Galáxia Vol.2,NOS Lusomundo Audiovisuais,James Gunn,US,20,10351.0,1962,253,865828.939999999,160270,42,23,-0.5974427052970255
452,13,O Sentido do Fim,NOS Lusomundo Audiovisuais,Ritesh Batra,GB,11,9064.74,1665,18,24465.66,4539,14,23,-0.4114156816605762
453,14,Conspiração Terrorista,NOS Lusomundo Audiovisuais,Michael Apted,GB,24,8530.62,1731,73,97354.8499999995,25109,21,23,-0.6731657136289186
454,15,"Amigos Amigos, Telemóveis à Parte",Outsider Films,Paolo Genovese,IT,6,7113.07,1286,66,78530.5799999998,16568,35,23,-0.21335263529250437
455,16,O Círculo,NOS Lusomundo Audiovisuais,James Ponsoldt,"US, AE",9,6773.99,1244,107,273467.070000001,54291,42,23,-0.39409695357509267
456,17,Cantar!,NOS Lusomundo Audiovisuais,"Garth Jennings, Christophe Lourdelet",US,37,6561.6,4145,402,2075047.31000004,432879,138,23,-0.7255088978690294
457,18,O Ilustre Cidadão,Outsider Films,"Mariano Cohn, Gastón Duprat","AR, ES",6,5212.51,1033,6,5212.51,1133,7,23,
458,19,Ladrões Com Muito Estilo,NOS Lusomundo Audiovisuais,Zach Braff,US,4,4256.22,838,182,582877.020000005,112943,63,23,-0.5489075138627462
459,20,A Vida Secreta dos Nossos Bichos,NOS Lusomundo Audiovisuais,"Chris Renaud, Yarrow Cheney","US, JP",23,3773.5,2426,342,2989516.33000003,609393,110,23,
460,1,A Múmia,NOS Lusomundo Audiovisuais,Alex Kurtzman,US,109,405464.87,71866,109,405464.87,71866,7,24,
461,2,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,NOS Lusomundo Audiovisuais,"Joachim Rønning, Espen Sandberg",US,103,251820.89,47681,235,1505889.82999998,272371,21,24,-0.4228247679314304
462,3,Mulher-Maravilha,NOS Lusomundo Audiovisuais,Patty Jenkins,US,90,197292.22,36919,177,545575.880000003,98492,14,24,-0.4278503283276818
463,4,Capitão Cuecas - O Filme,Big Picture 2 Films,David Soren,US,88,152512.07,30293,128,401645.910000002,79969,14,24,-0.3813863709475952
464,5,Alien: Covenant,Big Picture 2 Films,Ridley Scott,"US, AU, GB, NZ",52,25486.1,4646,221,515880.640000005,109504,28,24,-0.551228130909301
465,6,A Missão,Cinemundo,Walter Hill,"US, FR, CA",27,22355.18,4205,27,22355.18,4205,7,24,
466,7,Rei Artur: A Lenda da Espada,NOS Lusomundo Audiovisuais,Guy Ritchie,US,33,20355.75,3818,262,629905.349999996,137791,35,24,-0.559668600909617
467,8,Perdidos,NOS Lusomundo Audiovisuais,Sérgio Graciano,PT,26,15757.59,3019,75,171254.539999999,42095,28,24,-0.39864169935653215
468,9,The Boss Baby,Big Picture 2 Films,Tom Mcgrath,US,40,15296.36,3200,279,1724563.22999998,347762,63,24,-0.39071920209037025
469,10,Borboleta Negra,Pris Audiovisuais,Brian Goodman,US,18,13691.23,2558,18,13691.23,2558,7,24,
470,11,A Odisseia,NOS Lusomundo Audiovisuais,Jérôme Salle,FR,13,12778.97,2420,14,13031.97,2519,7,24,
471,12,Velocidade Furiosa 8,NOS Lusomundo Audiovisuais,F. Gary Gray,US,24,11040.04,2048,362,4293619.58000005,785088,63,24,-0.578798213408895
472,13,Escritos Secretos,NOS Lusomundo Audiovisuais,Jim Sheridan,IE,11,8776.19,1684,22,26357.74,5053,14,24,-0.49167002128614656
473,14,Bailarina,NOS Lusomundo Audiovisuais,"Eric Summer, Éric Warin","FR, CA",34,7858.39,1720,230,494843.660000002,101781,49,24,-0.6338673163358917
474,15,"Amigos Amigos, Telemóveis à Parte",Outsider Films,Paolo Genovese,IT,7,7134.16,1295,67,85904.3399999996,17912,42,24,0.0029649644949367726
475,16,O Sentido do Fim,NOS Lusomundo Audiovisuais,Ritesh Batra,GB,7,5092.1,948,21,29978.24,5574,21,24,-0.4382519520692264
476,17,Amarelinho,Big Picture 2 Films,Christian De Vita,"FR, BE",33,4907.9,1046,143,113383.46,29294,28,24,-0.7813351392412959
477,18,O Ilustre Cidadão,Outsider Films,"Mariano Cohn, Gastón Duprat","AR, ES",5,4150.19,784,9,9522.47999999998,1951,14,24,-0.20380200709447094
478,19,O Círculo,NOS Lusomundo Audiovisuais,James Ponsoldt,"US, AE",3,3801.53,700,109,277448.100000002,55036,49,24,-0.43880489932816547
479,20,Ladrões Com Muito Estilo,NOS Lusomundo Audiovisuais,Zach Braff,US,4,3625.86,709,183,586706.280000004,113705,70,24,-0.1481032465427069
480,1,A Múmia,NOS Lusomundo Audiovisuais,Alex Kurtzman,US,89,250862.38,44563,131,657916.1,116660,14,25,-0.38129688029446296
481,2,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,NOS Lusomundo Audiovisuais,"Joachim Rønning, Espen Sandberg",US,91,181092.570000001,34050,255,1688624.79999997,306753,28,25,-0.2808675642437727
482,3,Capitão Cuecas - O Filme,Big Picture 2 Films,David Soren,US,79,142141.39,28075,145,544240.100000002,108086,21,25,-0.0679990770566552
483,4,Mulher-Maravilha,NOS Lusomundo Audiovisuais,Patty Jenkins,US,90,137987.25,26163,210,684658.079999998,124835,21,25,-0.30059456982135435
484,5,Rough Night,Big Picture 2 Films,Lucia Aniello,US,39,84075.3299999999,16059,39,84075.3299999999,16059,7,25,
485,6,Churchill,NOS Lusomundo Audiovisuais,Jonathan Teplitzky,GB,26,41712.36,7750,26,41712.36,7750,7,25,
486,7,Amor Acima de Tudo,NOS Lusomundo Audiovisuais,Stella Meghie,US,22,32904.67,6219,22,32904.67,6219,7,25,
487,8,The Hunter's Prayer - Assassino Contratado,NOS Lusomundo Audiovisuais,Jonathan Mostow,"US, DE, ES",21,14767.67,2828,21,14767.67,2828,7,25,
488,9,O Rei Macaco,Big Picture 2 Films,Tian Xiao Peng,CN,28,12814.7,2529,28,12814.7,2529,7,25,
489,10,A Missão,Cinemundo,Walter Hill,"US, FR, CA",28,11904.23,2221,44,34339.5600000001,6441,14,25,-0.46749567661723146
490,11,Alien: Covenant,Big Picture 2 Films,Ridley Scott,"US, AU, GB, NZ",33,11217.06,2063,237,527252.650000004,111593,35,25,-0.5598753830519381
491,12,The Boss Baby,Big Picture 2 Films,Tom Mcgrath,US,26,10852.04,2191,284,1735415.26999999,349953,70,25,-0.29054755510461305
492,13,Rei Artur: A Lenda da Espada,NOS Lusomundo Audiovisuais,Guy Ritchie,US,17,9193.37,1778,270,639210.019999995,139588,42,25,-0.5483649583041647
493,14,A Odisseia,NOS Lusomundo Audiovisuais,Jérôme Salle,FR,12,6252.02,1167,18,19283.99,3686,14,25,-0.5107571267480868
494,15,Perdidos,NOS Lusomundo Audiovisuais,Sérgio Graciano,PT,11,6157.47999999999,1152,81,177412.019999999,43247,35,25,-0.6092371993433012
495,16,Velocidade Furiosa 8,NOS Lusomundo Audiovisuais,F. Gary Gray,US,16,6133.48,1151,368,4299997.21000006,786327,70,25,-0.4444331723435786
496,17,"Amigos Amigos, Telemóveis à Parte",Outsider Films,Paolo Genovese,IT,7,5880.71,1096,69,91785.0499999994,19008,49,25,-0.17569692858023933
497,18,Bailarina,NOS Lusomundo Audiovisuais,"Eric Summer, Éric Warin","FR, CA",28,5800.86,1268,234,500702.770000003,103059,56,25,-0.26182589563511105
498,19,Borboleta Negra,Pris Audiovisuais,Brian Goodman,US,18,4577.93,841,36,18327.76,3409,14,25,-0.6656304802417314
499,20,Escritos Secretos,NOS Lusomundo Audiovisuais,Jim Sheridan,IE,5,3231.81,617,24,29589.55,5670,21,25,-0.6317525030793545
500,1,Transformers: O Último Cavaleiro,NOS Lusomundo Audiovisuais,Michael Bay,US,129,299273.41,51266,129,299273.410000001,51266,7,26,
501,2,A Múmia,NOS Lusomundo Audiovisuais,Alex Kurtzman,US,87,173124.86,32955,198,832084.059999994,149833,21,26,-0.3098811388140382
502,3,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,NOS Lusomundo Audiovisuais,"Joachim Rønning, Espen Sandberg",US,75,161779.73,30668,289,1852888.64999997,337941,35,26,-0.10664623070952539
503,4,Capitão Cuecas - O Filme,Big Picture 2 Films,David Soren,US,84,159485.59,32575,172,705300.339999998,140879,28,26,0.12202075693786285
504,5,Mulher-Maravilha,NOS Lusomundo Audiovisuais,Patty Jenkins,US,72,100609.34,19112,242,786942.899999994,144271,28,26,-0.27087944719530244
505,6,Girls Night,Big Picture 2 Films,Lucia Aniello,US,51,74691.3999999999,14471,75,159382.88,30656,14,26,
506,7,All Eyez on Me,NOS Lusomundo Audiovisuais,Benny Boom,US,24,47422.57,8890,24,47422.57,8890,7,26,
507,8,Churchill,NOS Lusomundo Audiovisuais,Jonathan Teplitzky,GB,29,33429.47,6240,45,76292.8799999998,14225,14,26,-0.19857159844228423
508,9,O Muro,NOS Lusomundo Audiovisuais,Doug Liman,US,29,32850.61,6246,29,32850.6100000001,6246,7,26,
509,10,Amor Acima de Tudo,NOS Lusomundo Audiovisuais,Stella Meghie,US,26,30877.25,6015,39,63980.28,12278,14,26,-0.061614962253078276
510,11,O Rei Macaco,Big Picture 2 Films,Tian Xiao Peng,CN,29,15261.45,3061,47,28166.4,5607,14,26,0.19093306905350893
511,12,The Boss Baby,Big Picture 2 Films,Tom Mcgrath,US,21,9673.0,2062,288,1745096.06999999,352015,77,26,-0.10864685349482683
512,13,In Memoriam,Cinemundo,Mark Pellington,US,5,9014.04,1735,5,9014.04,1735,7,26,
513,14,The Hunter's Prayer - Assassino Contratado,NOS Lusomundo Audiovisuais,Jonathan Mostow,"US, DE, ES",19,8447.40999999999,1659,32,23215.08,4487,14,26,-0.4279794984584575
514,15,"Amigos Amigos, Telemóveis à Parte",Outsider Films,Paolo Genovese,IT,7,6265.02,1191,70,98351.0199999995,20264,56,26,0.06535095252103917
515,16,Bailarina,NOS Lusomundo Audiovisuais,"Eric Summer, Éric Warin","FR, CA",26,5952.71,1247,238,506947.230000003,104379,63,26,0.026177153042824752
516,17,Políticos Não se Confessam,Outsider Films,Roberto Andò,"FR, IT",13,5129.84,952,15,5703.16,1135,7,26,
517,18,A Missão,Cinemundo,Walter Hill,"US, FR, CA",16,3994.75,744,53,38393.3100000001,7201,21,26,-0.6644260065539729
518,19,A Odisseia,NOS Lusomundo Audiovisuais,Jérôme Salle,FR,7,3784.43,704,21,23239.52,4429,21,26,-0.3946868372142124
519,20,Tubelight,NOS Lusomundo Cinemas,Kabir Khan,IN,2,3528.28,654,2,3528.28,654,6,26,
520,1,Gru - O Maldisposto 3,NOS Lusomundo Audiovisuais,"Pierre Coffin, Kyle Balda",US,120,783002.289999996,157682,120,783002.289999996,157682,7,27,
521,2,Transformers: O Último Cavaleiro,NOS Lusomundo Audiovisuais,Michael Bay,US,110,177066.36,30688,196,476807.670000002,82114,14,27,-0.4083458333301311
522,3,A Múmia,NOS Lusomundo Audiovisuais,Alex Kurtzman,US,69,138986.65,26547,237,971296.109999991,176440,28,27,-0.1971883760656904
523,4,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,NOS Lusomundo Audiovisuais,"Joachim Rønning, Espen Sandberg",US,64,129140.51,24617,319,1982203.55999997,362574,42,27,-0.2017509857384483
524,5,Overdrive - Os Profissionais,NOS Lusomundo Audiovisuais,Antonio Negret,"US, FR",42,100913.64,19534,42,100913.64,19534,7,27,
525,6,Capitão Cuecas - O Filme,Big Picture 2 Films,David Soren,US,62,57314.9499999999,12003,198,763562.439999991,153110,35,27,-0.6406261531214206
526,7,Mulher-Maravilha,NOS Lusomundo Audiovisuais,Patty Jenkins,US,44,50677.59,9702,261,837862.689999992,154025,35,27,-0.49629338588246386
527,8,Girls Night,Big Picture 2 Films,Lucia Aniello,US,31,42925.91,8385,99,202618.29,39150,21,27,-0.4252897923991241
528,9,Paris Pode Esperar,NOS Lusomundo Audiovisuais,Eleanor Coppola,"US, JP",15,28972.25,5471,15,28972.25,5471,7,27,
529,10,All Eyez on Me,NOS Lusomundo Audiovisuais,Benny Boom,US,22,27172.46,5171,42,74595.03,14061,14,27,-0.4270141833308486
530,11,Paterson,Leopardo Filmes,Jim Jarmusch,"US, FR, DE",10,20321.04,3964,11,20741.04,4107,7,27,
531,12,Churchill,NOS Lusomundo Audiovisuais,Jonathan Teplitzky,GB,19,18816.79,3419,58,95109.6699999996,17644,21,27,-0.43711970306439196
532,13,Amor Acima de Tudo,NOS Lusomundo Audiovisuais,Stella Meghie,US,16,14929.21,2886,49,78933.49,15172,21,27,-0.5164980689666341
533,14,O Muro,NOS Lusomundo Audiovisuais,Doug Liman,US,28,14215.99,2700,50,47066.6000000001,8946,14,27,-0.5672533934681883
534,15,USS Indianapolis: Homens de Coragem,NOS Lusomundo Audiovisuais,Mario Van Peebles,US,11,12848.78,2498,11,12848.78,2498,7,27,
535,16,Blackway,Films4you,Daniel Alfredson,US,10,11949.75,2317,11,12018.75,2338,7,27,
536,17,Raid Pelotão Chanfrado,Cinemundo,Dany Boon,"FR, BE",11,5623.21,1098,11,5623.21,1098,7,27,
537,18,"Amigos Amigos, Telemóveis à Parte",Outsider Films,Paolo Genovese,IT,4,4657.67,857,70,102626.689999999,20972,63,27,-0.25655943636253364
538,19,In Memoriam,Cinemundo,Mark Pellington,US,6,4585.62,834,9,13599.66,2569,14,27,-0.4912802694463304
539,20,The Boss Baby,Big Picture 2 Films,Tom Mcgrath,US,17,3440.04,708,289,1748567.30999999,352723,84,27,-0.6443667941693374
540,1,Gru - O Maldisposto 3,NOS Lusomundo Audiovisuais,"Pierre Coffin, Kyle Balda",US,125,718548.699999996,147381,175,1506492.66999998,306088,14,28,-0.08231596615126158
541,2,Homem-Aranha: Regresso a Casa,Big Picture 2 Films,Jon Watts,US,104,556863.890000001,99909,104,556863.890000001,99909,7,28,
542,3,A Múmia,NOS Lusomundo Audiovisuais,Alex Kurtzman,US,56,113314.27,21770,268,1085941.62999999,198527,35,28,-0.1847111215357733
543,4,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,NOS Lusomundo Audiovisuais,"Joachim Rønning, Espen Sandberg",US,53,102708.96,19751,338,2086416.21999996,382715,49,28,-0.2046728017412971
544,5,Transformers: O Último Cavaleiro,NOS Lusomundo Audiovisuais,Michael Bay,US,89,93409.2099999997,18184,248,573434.400000002,100972,21,28,-0.472462132276285
545,6,Overdrive - Os Profissionais,NOS Lusomundo Audiovisuais,Antonio Negret,"US, FR",48,85731.1599999998,16866,72,187842.0,36673,14,28,-0.15045022655014917
546,7,Capitão Cuecas - O Filme,Big Picture 2 Films,David Soren,US,42,39925.2599999999,8343,210,804350.399999987,161645,42,28,-0.303405830415974
547,8,Adeus Índia,NOS Lusomundo Audiovisuais,Gurinder Chadha,"GB, IN",18,33855.7500000001,6282,18,33855.7500000001,6282,7,28,
548,9,Mulher-Maravilha,NOS Lusomundo Audiovisuais,Patty Jenkins,US,37,26926.52,5201,276,865293.00999999,159333,42,28,-0.46867007685251005
549,10,Girls Night,Big Picture 2 Films,Lucia Aniello,US,19,23569.08,4669,112,226259.37,43834,28,28,-0.4509358100969787
550,11,Paris Pode Esperar,NOS Lusomundo Audiovisuais,Eleanor Coppola,"US, JP",15,19699.36,3697,23,49448.07,9330,14,28,-0.3200610929423845
551,12,A Vida em Espera,NOS Lusomundo Audiovisuais,Robin Swicord,US,9,19232.75,3615,9,19232.75,3615,7,28,
552,13,Stratton - Forças Especiais,Pris Audiovisuais,Simon West,GB,14,18720.71,3669,14,18720.71,3669,7,28,
553,14,Paterson,Leopardo Filmes,Jim Jarmusch,"US, FR, DE",9,17174.08,3284,15,39910.44,7857,14,28,-0.1548621527244668
554,15,Churchill,NOS Lusomundo Audiovisuais,Jonathan Teplitzky,GB,10,9910.22,1794,64,105618.629999999,19565,28,28,-0.4733309985390708
555,16,Amor Acima de Tudo,NOS Lusomundo Audiovisuais,Stella Meghie,US,8,8455.53,1684,52,87537.82,16887,28,28,-0.4336250879986281
556,17,All Eyez on Me,NOS Lusomundo Audiovisuais,Benny Boom,US,10,8399.82,1627,50,82994.85,15688,21,28,-0.6908700942056774
557,18,"Duas Mulheres, Um Encontro",Midas Filmes,Martin Provost,FR,6,8349.29,1658,6,8349.29,1658,7,28,
558,19,USS Indianapolis: Homens de Coragem,NOS Lusomundo Audiovisuais,Mario Van Peebles,US,13,8175.97,1614,20,21024.75,4112,14,28,-0.3636773296764362
559,20,Blackway,Films4you,Daniel Alfredson,US,8,7288.42,1392,15,19700.77,3812,14,28,-0.3900776166865415
560,1,Gru - O Maldisposto 3,NOS Lusomundo Audiovisuais,"Pierre Coffin, Kyle Balda",US,124,443816.799999999,92605,215,1949728.46999997,398511,21,29,-0.3823427695297459
561,2,Planeta dos Macacos: A Guerra,Big Picture 2 Films,Matt Reeves,US,101,336193.17,62339,101,336193.17,62339,7,29,
562,3,Homem-Aranha: Regresso a Casa,Big Picture 2 Films,Jon Watts,US,84,272411.550000001,50972,161,829275.439999992,150881,14,29,-0.510811250483488
563,4,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,NOS Lusomundo Audiovisuais,"Joachim Rønning, Espen Sandberg",US,46,69318.7,13436,345,2156083.41999996,396277,56,29,-0.32509588257928035
564,5,A Múmia,NOS Lusomundo Audiovisuais,Alex Kurtzman,US,45,68609.98,13465,287,1154551.60999998,211992,42,29,-0.3945159775551659
565,6,Overdrive - Os Profissionais,NOS Lusomundo Audiovisuais,Antonio Negret,"US, FR",43,54923.79,10934,94,242765.79,47607,21,29,-0.3593485729109448
566,7,Transformers: O Último Cavaleiro,NOS Lusomundo Audiovisuais,Michael Bay,US,53,33504.54,6653,277,606990.940000001,107641,28,29,-0.6413143843096403
567,8,Capitão Cuecas - O Filme,Big Picture 2 Films,David Soren,US,37,31698.76,6797,220,836049.159999983,168442,49,29,-0.20604749975328707
