,Weekly drop (revenue),Title,Screens (week),Days since premiere
383,-0.3627081478121158,Guardiões da Galáxia Vol.2,76,21
384,0.060087002181455906,Bailarina,74,21
385,-0.21624606016602443,Foge,35,14
386,-0.2812119658504818,O Círculo,44,21
387,-0.47054423690383784,A Cidade Perdida de Z ,32,14
389,-0.31112300087810885,Ladrões Com Muito Estilo,25,42
391,-0.1827552470078052,"Amigos Amigos, Telemóveis à Parte",28,14
392,-0.4066637649231388,Fátima,25,21
395,-0.3413068328384933,A Cabana,11,28
396,-0.35653487240420434,O Jovem Karl Max,6,28
397,-0.553285675995973,O Jardim da Esperança,15,28
398,-0.6932421697420867,Jacinta,25,35
399,-0.5014309409426412,A Bela e o Monstro,25,63
400,12.301911919300366,Alien: Covenant,78,7
401,-0.30802462195888236,Rei Artur: A Lenda da Espada,75,14
402,-0.29943504046457037,Velocidade Furiosa 8,59,42
404,-0.3418294026339247,Guardiões da Galáxia Vol.2,65,28
405,-0.41505834422018417,The Boss Baby,64,42
408,-0.5955696872853088,Bailarina,62,28
409,-0.35686009322888557,Foge,27,21
410,-0.3321060004501648,O Círculo,23,28
411,-0.2843875795336661,Ladrões Com Muito Estilo,11,49
413,-0.5796365033939052,A Cidade Perdida de Z ,17,21
414,-0.3959897795805354,"Amigos Amigos, Telemóveis à Parte",14,21
415,-0.5238525903047415,Música a Música,18,14
416,-0.27991910357391736,A Cabana,8,35
418,-0.6451060397818769,Fátima,11,28
419,-0.377279637465746,O Jovem Karl Max,6,35
421,-0.6431853311697879,Alien: Covenant,69,14
422,-0.6138386418345354,Rei Artur: A Lenda da Espada,73,21
423,-0.5625560568763175,Velocidade Furiosa 8,56,49
424,-0.3898413060056196,The Boss Baby,47,49
425,-0.533980692892518,Perdidos,34,14
426,-0.16946383971784917,Amarelinho,54,14
427,-0.2307873645094135,Bailarina,60,35
428,-0.5660505315478849,Conspiração Terrorista,36,14
429,-0.6701912979769691,Guardiões da Galáxia Vol.2,48,35
431,-0.5698981527147606,O Círculo,12,35
432,-0.407373537019055,Ladrões Com Muito Estilo,9,56
433,-0.2660997676292912,"Amigos Amigos, Telemóveis à Parte",9,28
434,-0.3867440656659026,Heróis da Nação,15,14
435,-0.07687406296851573,I Am Not Your Negro - Não Sou o Teu Negro,4,14
436,-0.8304876338844598,Foge,9,28
439,-0.6478737021760774,"Paula Rego, Histórias & Segredos",6,56
440,-0.45930092965537306,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,119,14
443,-0.46475079770276684,Alien: Covenant,68,21
444,-0.3874050859361525,Rei Artur: A Lenda da Espada,61,28
445,-0.4716237884109168,Velocidade Furiosa 8,41,56
446,-0.35434763271582803,Perdidos,32,21
447,-0.4311578046773322,The Boss Baby,42,56
448,-0.41647852772219984,Amarelinho,78,21
449,-0.305408551509344,Bailarina,58,42
451,-0.5974427052970255,Guardiões da Galáxia Vol.2,20,42
452,-0.4114156816605762,O Sentido do Fim,11,14
453,-0.6731657136289186,Conspiração Terrorista,24,21
454,-0.21335263529250437,"Amigos Amigos, Telemóveis à Parte",6,35
455,-0.39409695357509267,O Círculo,9,42
456,-0.7255088978690294,Cantar!,37,138
458,-0.5489075138627462,Ladrões Com Muito Estilo,4,63
461,-0.4228247679314304,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,103,21
462,-0.4278503283276818,Mulher-Maravilha,90,14
463,-0.3813863709475952,Capitão Cuecas - O Filme,88,14
464,-0.551228130909301,Alien: Covenant,52,28
466,-0.559668600909617,Rei Artur: A Lenda da Espada,33,35
467,-0.39864169935653215,Perdidos,26,28
468,-0.39071920209037025,The Boss Baby,40,63
471,-0.578798213408895,Velocidade Furiosa 8,24,63
472,-0.49167002128614656,Escritos Secretos,11,14
473,-0.6338673163358917,Bailarina,34,49
474,0.0029649644949367726,"Amigos Amigos, Telemóveis à Parte",7,42
475,-0.4382519520692264,O Sentido do Fim,7,21
476,-0.7813351392412959,Amarelinho,33,28
477,-0.20380200709447094,O Ilustre Cidadão,5,14
478,-0.43880489932816547,O Círculo,3,49
479,-0.1481032465427069,Ladrões Com Muito Estilo,4,70
480,-0.38129688029446296,A Múmia,89,14
481,-0.2808675642437727,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,91,28
482,-0.0679990770566552,Capitão Cuecas - O Filme,79,21
483,-0.30059456982135435,Mulher-Maravilha,90,21
489,-0.46749567661723146,A Missão,28,14
490,-0.5598753830519381,Alien: Covenant,33,35
491,-0.29054755510461305,The Boss Baby,26,70
492,-0.5483649583041647,Rei Artur: A Lenda da Espada,17,42
493,-0.5107571267480868,A Odisseia,12,14
494,-0.6092371993433012,Perdidos,11,35
495,-0.4444331723435786,Velocidade Furiosa 8,16,70
496,-0.17569692858023933,"Amigos Amigos, Telemóveis à Parte",7,49
497,-0.26182589563511105,Bailarina,28,56
498,-0.6656304802417314,Borboleta Negra,18,14
499,-0.6317525030793545,Escritos Secretos,5,21
501,-0.3098811388140382,A Múmia,87,21
502,-0.10664623070952539,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,75,35
503,0.12202075693786285,Capitão Cuecas - O Filme,84,28
504,-0.27087944719530244,Mulher-Maravilha,72,28
507,-0.19857159844228423,Churchill,29,14
509,-0.061614962253078276,Amor Acima de Tudo,26,14
510,0.19093306905350893,O Rei Macaco,29,14
511,-0.10864685349482683,The Boss Baby,21,77
513,-0.4279794984584575,The Hunter's Prayer - Assassino Contratado,19,14
514,0.06535095252103917,"Amigos Amigos, Telemóveis à Parte",7,56
515,0.026177153042824752,Bailarina,26,63
517,-0.6644260065539729,A Missão,16,21
518,-0.3946868372142124,A Odisseia,7,21
521,-0.4083458333301311,Transformers: O Último Cavaleiro,110,14
522,-0.1971883760656904,A Múmia,69,28
523,-0.2017509857384483,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,64,42
525,-0.6406261531214206,Capitão Cuecas - O Filme,62,35
526,-0.49629338588246386,Mulher-Maravilha,44,35
527,-0.4252897923991241,Girls Night,31,21
529,-0.4270141833308486,All Eyez on Me,22,14
531,-0.43711970306439196,Churchill,19,21
532,-0.5164980689666341,Amor Acima de Tudo,16,21
533,-0.5672533934681883,O Muro,28,14
537,-0.25655943636253364,"Amigos Amigos, Telemóveis à Parte",4,63
538,-0.4912802694463304,In Memoriam,6,14
539,-0.6443667941693374,The Boss Baby,17,84
540,-0.08231596615126158,Gru - O Maldisposto 3,125,14
542,-0.1847111215357733,A Múmia,56,35
543,-0.2046728017412971,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,53,49
544,-0.472462132276285,Transformers: O Último Cavaleiro,89,21
545,-0.15045022655014917,Overdrive - Os Profissionais,48,14
546,-0.303405830415974,Capitão Cuecas - O Filme,42,42
548,-0.46867007685251005,Mulher-Maravilha,37,42
549,-0.4509358100969787,Girls Night,19,28
550,-0.3200610929423845,Paris Pode Esperar,15,14
553,-0.1548621527244668,Paterson,9,14
554,-0.4733309985390708,Churchill,10,28
555,-0.4336250879986281,Amor Acima de Tudo,8,28
556,-0.6908700942056774,All Eyez on Me,10,21
558,-0.3636773296764362,USS Indianapolis: Homens de Coragem,13,14
559,-0.3900776166865415,Blackway,8,14
560,-0.3823427695297459,Gru - O Maldisposto 3,124,21
562,-0.510811250483488,Homem-Aranha: Regresso a Casa,84,14
563,-0.32509588257928035,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,46,56
564,-0.3945159775551659,A Múmia,45,42
565,-0.3593485729109448,Overdrive - Os Profissionais,43,21
566,-0.6413143843096403,Transformers: O Último Cavaleiro,53,28
567,-0.20604749975328707,Capitão Cuecas - O Filme,37,49
568,-0.26874725858975435,Adeus Índia,16,14
570,-0.23466992118355112,Paterson,12,21
572,-0.5759559720305483,Mulher-Maravilha,24,49
573,-0.5579157099046717,Girls Night,11,35
574,-0.5501508678454529,Paris Pode Esperar,10,21
575,-0.5765727730043806,A Vida em Espera,9,14
579,-0.2523934040799336,Amor Acima de Tudo,6,35
583,-0.39145149530166146,Gru - O Maldisposto 3,93,28
584,-0.468920353141023,Planeta dos Macacos: A Guerra,82,14
585,-0.4758847780132689,Homem-Aranha: Regresso a Casa,73,21
586,-0.4372302134921745,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,28,63
587,-0.5868140465862255,A Múmia,23,49
588,-0.6503715420949647,Overdrive - Os Profissionais,23,28
589,-0.4195362847000955,Capitão Cuecas - O Filme,28,56
591,-0.48295007184101024,Transformers: O Último Cavaleiro,23,35
592,-0.3234755591424039,Adeus Índia,11,21
594,-0.3634044541016933,Paterson,8,28
595,-0.4102900626858941,Manhattan Nocturne,11,14
597,-0.5960003608328233,Mulher-Maravilha,10,56
598,-0.6191331270538374,Girls Night,3,42
599,-0.7291672017442721,O Portal do Guerreiro,19,14
600,-0.2769561624293453,Baywatch: Marés Vivas,78,14
601,-0.39956874748607407,Carros 3,116,14
602,41.866108934307746,Valerian e a Cidade dos Mil Planetas,95,7
603,-0.3182134004258358,Dunkirk,73,14
604,-0.21789128236191946,Gru - O Maldisposto 3,81,35
605,-0.43464234716838046,Planeta dos Macacos: A Guerra,69,21
607,-0.5195102729440672,Homem-Aranha: Regresso a Casa,61,28
609,-0.25884593352818863,Capitão Cuecas - O Filme,22,63
610,-0.25465252469002886,Lady Macbeth,9,14
611,-0.6782871367609773,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,12,70
612,-0.3148842393987864,Adeus Índia,7,28
613,-0.6372871682208836,A Múmia,8,56
616,-0.10591576026225868,Paterson,6,35
618,-0.5241393964458889,Debaixo do Mesmo Teto,7,14
621,-0.3316917885883278,Baywatch: Marés Vivas,66,21
622,-0.3134778225483559,Carros 3,97,21
623,-0.16134094955530354,Gru - O Maldisposto 3,73,42
624,-0.39995834906828287,Dunkirk,71,21
625,-0.45606588752753396,Valerian e a Cidade dos Mil Planetas,80,14
628,-0.6124807537953981,Planeta dos Macacos: A Guerra,42,28
629,-0.46351021560031613,Homem-Aranha: Regresso a Casa,43,35
630,-0.5203012930504733,Olha Que Duas,45,14
632,-0.18119675417717096,Capitão Cuecas - O Filme,22,70
633,-0.31041278166718855,Lady Macbeth,9,21
635,-0.32855389956827363,Adeus Índia,8,35
636,-0.2134223935581494,Paterson,5,42
637,-0.6402872676999973,"Tal Pai, Tal Mãe 2",26,14
638,-0.639657535121056,A História do Amor,10,14
639,-0.5774877569481269,Pedras Sombrias,9,14
643,-0.29554697137399566,Baby Driver - Alta Velocidade,62,14
644,-0.29885378233038584,Baywatch: Marés Vivas,62,28
645,-0.47381194020707096,Carros 3,81,28
646,-0.16520270083990285,De Braços Abertos,34,14
647,-0.4863219177053756,Gru - O Maldisposto 3,59,49
648,-0.4568846938588116,Valerian e a Cidade dos Mil Planetas,60,21
649,-0.4799607199960154,Dunkirk,47,28
650,-0.4698505750862513,Assalto ao Shopping,26,14
651,-0.5053810418805551,Planeta dos Macacos: A Guerra,22,35
652,-0.478573938267134,2:22 - Hora Fatídica,22,14
653,-0.5442557705307867,Homem-Aranha: Regresso a Casa,22,42
654,-0.7719532871859666,Olha Que Duas,22,21
655,-0.10586067036568347,Adeus Índia,4,42
656,-0.40942377832802934,Lady Macbeth,4,28
658,-0.5903163117264603,Capitão Cuecas - O Filme,17,77
660,-0.32429086409342167,Emoji: O Filme,79,14
661,-0.3710365277379115,Annabelle 2: A Criação do Mal,67,14
663,-0.28840694820161716,Baby Driver - Alta Velocidade,50,21
664,-0.46237878394171184,Atomic Blonde - Agente Especial,78,14
665,-0.38049320346318005,Baywatch: Marés Vivas,54,35
666,-0.27645763126604894,De Braços Abertos,28,21
667,-0.37175462394384895,Gru - O Maldisposto 3,43,56
668,-0.5189666847668002,Carros 3,58,35
670,-0.452551407852817,Dunkirk,34,35
671,-0.5221708202779922,Valerian e a Cidade dos Mil Planetas,41,28
674,-0.472113640745111,Planeta dos Macacos: A Guerra,15,42
675,-0.559400285691801,Homem-Aranha: Regresso a Casa,15,49
676,-0.6930984663988555,Assalto ao Shopping,15,21
677,-0.7261586963477678,2:22 - Hora Fatídica,11,21
678,-0.02825158866001687,Capitão Cuecas - O Filme,13,84
681,-0.12013465074250473,Emoji: O Filme,74,21
682,-0.21189271098195794,Annabelle 2: A Criação do Mal,55,21
683,-0.3152662352259148,A Torre Negra,70,14
685,-0.20369088515413747,Baby Driver - Alta Velocidade,46,28
686,-0.3143169026578976,Baywatch: Marés Vivas,44,42
687,-0.21163443445476626,De Braços Abertos,23,28
688,-0.5589096475013886,Atomic Blonde - Agente Especial,61,21
689,-0.09990651202079903,Carros 3,46,42
690,-0.2437593667221266,Gru - O Maldisposto 3,32,63
692,-0.40481976429340927,Dunkirk,20,42
693,-0.6023158289272779,Wind River,13,14
694,-0.5640736232544254,Valerian e a Cidade dos Mil Planetas,25,35
696,-0.4144319049028159,Hampstead: Nunca é Tarde Para Amar,10,14
698,-0.508284023668639,Dois é Demais... ou Talvez Não!,12,14
699,-0.41176231507072014,Adeus Índia,3,56
701,-0.5163913900314144,O Guarda-Costas e o Assassino,82,14
702,-0.4748777109190788,Emoji: O Filme,70,28
703,-0.3571714237502416,Annabelle 2: A Criação do Mal,49,28
705,-0.5630929512587586,A Torre Negra,61,21
706,-0.4519958536801951,Baby Driver - Alta Velocidade,40,35
707,-0.5644362417257782,Um Voo em Grande,52,14
709,-0.5263406432380863,De Braços Abertos,18,35
710,-0.7346198186589887,Baywatch: Marés Vivas,25,49
711,-0.6230628958631319,Gru - O Maldisposto 3,25,70
